rail_zenith[°],  wind_angle[°],  wind_speed[m/s], acc_noise[m/s²], gyro_noise[m/s²], baro_noise[m/s²], wind_gust_x[m/s], wind_gust_y[m/s], end_burn[s], used_propellant[kg], apogee_error[m], Kalman error_x[m], Kalman error_y[m], Kalman error_z[m]
9.91 159.64 6.74 0.07924 0.04718 0.54 8.54 3.87 6.43 8.81 -17.2 27.0 111.5 -0.3 -0.0 5.1 0.2 0.04487
0.11 114.27 12.28 0.06309 0.01259 0.84 4.82 4.92 6.69 9.08 -14.6 -7.2 -9.0 0.2 -0.1 -0.6 0.7 0.05397
0.54 133.93 2.34 0.07987 0.03441 0.17 2.54 5.98 6.56 8.78 -40.5 -121.8 -207.4 0.1 -5.8 -10.7 0.4 0.05557
6.53 81.92 13.63 0.14360 0.02706 0.32 2.92 2.20 7.17 9.44 -33.3 -19.9 -7.6 -0.2 0.2 -0.2 -0.2 0.05578
4.31 69.06 5.15 0.00730 0.04380 0.11 7.30 0.78 6.37 8.84 50.6 63.0 -127.3 -0.0 3.6 -6.1 -0.0 0.04471
1.44 110.77 12.16 0.14448 0.03175 0.52 6.01 1.87 6.73 9.05 21.1 -48.4 -93.4 -0.2 -2.1 -3.9 0.0 0.04620
7.30 144.23 12.57 0.17529 0.00110 0.37 5.95 4.72 6.49 8.89 -38.4 8.9 0.2 0.2 0.1 -0.0 0.1 0.04112
4.28 101.18 6.70 0.09824 0.01639 0.16 3.48 6.34 6.48 8.87 -31.9 77.9 21.2 0.0 4.1 0.9 0.1 0.05571
1.27 65.50 3.78 0.01274 0.01772 0.31 7.23 6.26 6.54 8.80 -0.7 6.9 63.5 0.1 0.4 3.2 0.5 0.04270
6.85 104.76 4.28 0.17905 0.03105 0.32 4.17 9.46 6.54 8.92 8.3 -100.2 -37.0 0.2 -4.1 -1.5 -0.2 0.04859
4.79 140.51 13.60 0.06563 0.04919 0.46 5.95 3.25 6.86 9.08 -21.3 138.7 -128.3 -0.1 6.8 -7.0 -0.5 0.04768
1.69 120.07 12.86 0.03653 0.02009 0.77 5.21 1.62 6.81 9.13 -6.4 46.5 19.5 -0.1 3.4 1.2 0.0 0.04933
9.13 11.45 10.64 0.08663 0.04880 0.52 3.63 3.31 7.35 9.72 -68.0 -71.0 207.0 0.0 -4.7 10.6 -0.4 0.04309
5.41 113.44 12.48 0.15985 0.02047 0.27 4.53 7.75 7.07 9.20 26.7 42.0 -52.5 -0.0 1.9 -2.1 -0.3 0.05058
0.27 0.96 8.87 0.01171 0.01838 0.04 1.97 6.86 6.54 8.93 24.5 14.3 50.3 0.0 1.1 2.3 -0.1 0.04534
7.54 158.54 9.22 0.04863 0.01006 0.23 9.36 0.58 6.38 8.78 44.9 3.6 -16.9 0.0 0.3 -0.5 0.1 0.05574
1.39 92.04 10.21 0.08563 0.04400 0.67 9.23 9.52 6.82 8.98 -2.8 -104.3 27.0 -0.1 -5.0 2.0 -0.2 0.04364
