rail_zenith[°],  wind_angle[°],  wind_speed[m/s], acc_noise[m/s²], gyro_noise[m/s²], baro_noise[m/s²], wind_gust_x[m/s], wind_gust_y[m/s], end_burn[s], used_propellant[kg], apogee_error[m], Kalman error_x[m], Kalman error_y[m], Kalman error_z[m]
9.65 23.34 8.10 0.18623 0.03564 0.32 9.71 1.43 7.26 9.51 -11.3 -0.4 308.3 -0.0 1.4 12.7 -1.6 0.04122
7.02 92.91 13.17 0.24047 0.02864 0.96 4.50 3.71 10.69 8.73 -563.8 -64.2 -173.2 0.1 -3.8 -8.9 0.7 0.02460
4.57 116.16 9.68 0.04092 0.03289 0.35 6.21 7.20 6.81 9.07 8.9 22.0 -87.1 0.1 1.9 -4.9 -1.2 0.04670
3.08 30.57 0.16 0.27624 0.02865 0.60 4.43 4.92 10.68 8.48 -336.4 184.9 26.5 -0.1 8.5 0.5 0.9 0.03868
2.09 137.20 10.91 0.04780 0.04869 0.70 2.89 2.27 6.90 9.14 11.9 -161.5 -278.8 0.4 -7.9 -14.2 -0.7 0.05598
5.18 20.59 5.01 0.05444 0.03637 0.96 0.93 6.26 6.77 9.09 -14.8 -2.2 -76.2 -0.2 0.4 -4.3 0.8 0.05161
3.84 98.17 12.74 0.22970 0.01314 0.46 9.15 2.91 6.90 9.18 -31.3 -39.8 -95.0 0.1 -0.9 -4.7 0.9 0.02822
0.68 22.57 5.79 0.19433 0.00901 0.86 2.93 9.89 6.66 8.93 -1.4 -21.4 -11.4 0.3 -0.3 -0.5 -0.4 0.03004
5.41 112.80 7.92 0.15477 0.01068 0.30 0.99 8.90 6.75 9.05 -12.3 -14.2 35.2 -0.0 -0.6 1.3 -0.5 0.02032
7.85 119.61 9.62 0.17002 0.00102 0.08 0.34 9.39 6.88 9.12 -37.8 -0.3 -11.5 -0.0 0.2 -0.4 0.5 0.02523
2.21 26.08 2.54 0.04043 0.01272 0.07 5.27 7.92 6.67 8.90 10.5 -44.1 -45.9 0.0 -2.0 -2.7 -0.2 0.04586
8.87 120.09 11.43 0.08815 0.00075 0.73 3.52 8.94 6.92 9.25 19.5 1.0 -13.0 0.4 0.2 -0.9 -1.7 0.05485
8.18 132.17 10.44 0.10067 0.04127 0.58 0.67 6.44 6.72 9.05 -5.7 40.3 134.1 -0.3 2.0 5.5 -0.2 0.05883
4.77 81.68 9.49 0.05562 0.03368 0.52 6.49 1.85 6.83 9.17 7.6 -71.2 227.2 0.2 -4.2 11.6 -0.2 0.05633
1.32 21.00 6.06 0.19155 0.03344 0.31 8.06 0.78 6.70 8.95 8.8 124.7 56.7 0.1 6.9 3.5 -0.2 0.05219
9.66 118.30 4.97 0.13228 0.02679 0.98 5.97 9.97 6.78 9.08 -32.5 -208.0 -262.0 0.3 -9.7 -12.0 0.9 0.04700
0.38 77.83 7.65 0.06596 0.02499 0.64 9.81 5.13 6.67 8.95 7.3 64.2 44.4 0.2 3.3 3.5 -0.6 0.03211
9.80 162.41 7.25 0.24750 0.03774 0.63 9.47 4.98 6.57 8.89 -19.2 147.2 6.4 0.4 7.2 -0.7 1.0 0.04057
3.51 78.89 2.13 0.17342 0.04442 0.82 0.70 5.49 6.66 8.91 9.3 -201.2 -86.8 0.4 -9.8 -4.0 -0.4 0.02952
5.90 48.29 8.12 0.18173 0.01734 0.94 5.98 3.25 6.92 9.24 -10.6 -23.4 -36.8 -0.3 -0.8 -1.9 -0.8 0.03588
6.39 140.00 4.60 0.24311 0.01616 0.18 7.03 0.01 6.56 8.90 10.7 -40.1 -116.9 0.1 -1.0 -5.2 -0.8 0.05682
8.78 41.90 0.24 0.17003 0.00668 0.69 6.12 8.30 6.76 9.08 12.1 24.6 25.9 0.2 1.2 1.4 -1.2 0.04378
4.69 128.02 5.36 0.19248 0.02108 0.48 2.61 9.77 6.65 8.93 -8.2 52.7 -96.3 0.0 1.4 -4.2 -0.1 0.03222
6.90 125.47 11.74 0.11441 0.00098 0.07 4.99 0.56 6.75 9.05 -31.8 -2.4 -11.0 -0.0 0.1 -0.6 2.1 0.03949
5.42 103.95 14.52 0.15859 0.02883 0.29 2.74 3.19 7.09 9.40 -34.0 -53.0 -140.5 0.2 -2.5 -7.4 0.2 0.03163
4.64 56.93 12.33 0.01580 0.04186 0.66 6.68 5.22 7.07 9.38 -49.2 -102.9 -118.3 0.0 -4.9 -7.1 0.5 0.03501
0.62 167.26 3.93 0.00470 0.00062 0.19 7.35 0.41 6.70 8.94 54.9 -0.1 4.7 -0.1 0.1 0.2 -1.6 0.05495
5.54 74.09 2.87 0.22397 0.00963 0.95 0.67 5.15 6.67 9.00 20.4 -23.8 -70.8 -0.0 -2.0 -4.3 -0.7 0.04384
5.32 171.69 12.92 0.28947 0.04638 0.86 4.32 3.98 10.68 8.30 -576.2 -162.7 -45.4 -0.2 -7.6 -2.5 -0.0 0.04310
0.75 79.36 14.63 0.00855 0.03271 0.22 0.23 5.54 7.25 9.52 -15.4 -95.7 -109.8 -0.0 -3.6 -5.4 -1.1 0.05409
0.25 60.42 13.05 0.18043 0.01547 0.06 7.62 5.73 6.90 9.24 -12.3 -66.7 76.6 -0.0 -3.6 4.6 -0.7 0.05181
4.44 57.48 6.35 0.17072 0.02853 0.55 5.07 1.51 6.78 9.04 -14.8 -39.4 -91.0 -0.0 -2.6 -5.7 0.5 0.05242
8.06 6.49 1.65 0.10482 0.03322 0.96 1.40 0.41 6.66 9.01 -33.4 307.2 160.5 -0.1 16.0 9.2 1.2 0.05193
4.80 133.06 7.63 0.21705 0.03730 0.53 5.59 3.79 6.63 8.94 29.1 -46.9 269.5 -0.5 -1.6 12.5 -1.1 0.05660
9.81 29.14 9.24 0.12111 0.00605 0.40 7.57 9.08 7.51 9.74 -53.0 -13.6 19.3 0.2 -1.0 0.9 -0.4 0.03897
7.64 12.15 12.61 0.26942 0.03331 0.53 3.33 2.77 7.71 9.92 -62.6 -140.2 -302.4 0.2 -8.3 -14.5 -0.2 0.05911
